index,taxon,lat,lon,value,unit,dataset,datetime,subset,taxons
30432,Chaetoceros,43.38281552,4.8792288294,2000.0,Nombre par litre,MED,1987-07-06 10:45:00,val,[ 100.  600. 2000.    0.    0.    0.]
19307,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-07-06 11:00:00,train,[0. 0. 0. 0. 0. 0.]
30787,Dinophysis acuminata,43.378148429,4.8457282509,0.0,Nombre par litre,MED,1987-07-08 10:00:00,val,[   0. 2600.    0.    0.    0.    0.]
30789,Chaetoceros,43.378148429,4.8457282509,3600.0,Nombre par litre,MED,1987-07-15 10:30:00,val,[    0. 21600.  3600.     0.     0.     0.]
33024,Chaetoceros,43.0873189621,5.9064212393,400.0,Nombre par litre,MED,1987-07-15 11:00:00,val,[  0. 600. 400.   0.   0.   0.]
30435,Chaetoceros,43.38281552,4.8792288294,600.0,Nombre par litre,MED,1987-07-20 10:15:00,val,[  0.   0. 600.   0.   0.   0.]
19308,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-07-20 11:00:00,train,[0. 0. 0. 0. 0. 0.]
30792,Chaetoceros,43.378148429,4.8457282509,600.0,Nombre par litre,MED,1987-07-20 11:30:00,val,[  0. 100. 600.   0.   0.   0.]
32265,Chaetoceros,43.4129855772,5.1634005918,400.0,Nombre par litre,MED,1987-07-20 12:15:00,val,[  0.   0. 400.   0.   0.   0.]
36643,Chaetoceros,42.0768824658,9.7958493007,2000.0,Nombre par litre,MED,1987-07-27 13:00:00,val,[   0.    0. 2000.    0.    0.    0.]
16149,Chaetoceros,43.4343047641,3.6645374015,180000.0,Nombre par litre,MED,1987-08-04 10:00:00,train,[     0.      0. 180000.      0.      0.      0.]
19309,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-08-04 11:00:00,train,[0. 0. 0. 0. 0. 0.]
30795,Chaetoceros,43.378148429,4.8457282509,5400.0,Nombre par litre,MED,1987-08-04 11:00:00,val,[ 100.  200. 5400.    0.    0.    0.]
30437,Chaetoceros,43.38281552,4.8792288294,2200.0,Nombre par litre,MED,1987-08-10 10:45:00,val,[   0.  100. 2200.    0.    0.    0.]
30798,Chaetoceros,43.378148429,4.8457282509,600.0,Nombre par litre,MED,1987-08-10 11:00:00,val,[100.   0. 600.   0.   0.   0.]
11364,Dinophysis acuminata,43.44318,3.85573,2400.0,Nombre par litre,MED,1987-08-14 11:00:00,test,[3200.    0.    0.    0.    0.    0.]
30800,Chaetoceros,43.378148429,4.8457282509,2400.0,Nombre par litre,MED,1987-08-17 09:45:00,val,[   0.    0. 2400.    0.    0.    0.]
16151,Chaetoceros,43.4343047641,3.6645374015,350000.0,Nombre par litre,MED,1987-08-17 10:00:00,train,[     0.      0. 350000.      0.      0.      0.]
19310,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-08-17 11:00:00,train,[0. 0. 0. 0. 0. 0.]
